City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,286.39,64,16,9.72,SH,1683734645
1,ribeira grande,38.5167,-28.7,292.47,77,40,11.83,PT,1683735058
2,piacabucu,-10.4056,-36.4344,301.7,68,40,3.4,BR,1683735058
3,tiksi,71.6872,128.8694,254.2,90,11,5.12,RU,1683735058
4,adamstown,-25.066,-130.1015,294.26,69,100,9.03,PN,1683735059
5,yuzhno-kurilsk,44.0306,145.8556,277.11,92,57,3.02,RU,1683735059
6,waitangi,-43.9535,-176.5597,288.05,82,21,3.58,NZ,1683735059
7,blackmans bay,-43.0167,147.3167,280.22,89,19,2.14,AU,1683735060
8,iqaluit,63.7506,-68.5145,270.76,68,16,1.79,CA,1683735060
9,muhos,64.808,25.9931,288.03,49,100,3.8,FI,1683735060
10,talnakh,69.4865,88.3972,253.09,90,51,1.89,RU,1683735060
11,igarka,67.4667,86.5833,265.29,88,100,5.65,RU,1683735061
12,alice springs,-23.7,133.8833,276.9,70,0,1.95,AU,1683735061
13,new norfolk,-42.7826,147.0587,280.87,76,67,1.06,AU,1683735061
14,crane,31.3974,-102.3501,298.04,54,53,7.49,US,1683735062
15,nova vicosa,-17.8919,-39.3719,299.29,68,94,2.97,BR,1683735063
16,keffi,8.8486,7.8736,309.02,34,100,1.74,NG,1683735064
17,port-aux-francais,-49.35,70.2167,279.16,88,39,6.94,TF,1683735064
18,port mathurin,-19.6833,63.4167,298.97,73,3,8.41,MU,1683735065
19,aldan,58.6031,125.3894,274.21,86,32,2.56,RU,1683735065
20,balaipungut,1.05,101.2833,298.63,89,83,0.36,ID,1683734894
21,aban,56.67,96.06,276.39,49,1,3.31,RU,1683735066
22,fort mcmurray,56.7268,-111.381,292.03,47,43,1.25,CA,1683735067
23,grytviken,-54.2811,-36.5092,274.9,84,100,5.22,GS,1683735067
24,arraial do cabo,-22.9661,-42.0278,295.07,100,100,4.12,BR,1683735068
25,fale old settlement,-9.3852,-171.2468,301.8,79,18,7.69,TK,1683735069
26,qaqortoq,60.7167,-46.0333,277.64,88,100,2.29,GL,1683735069
27,tinogasta,-28.0632,-67.5649,292.83,43,5,1.82,AR,1683735070
28,albany,42.6001,-73.9662,293.47,31,3,0.89,US,1683735070
29,hamilton,39.1834,-84.5333,295.05,40,0,5.66,US,1683735071
30,papatowai,-46.5619,169.4708,281.27,73,100,8.39,NZ,1683735071
31,colotlan,22.1,-103.2667,298.42,22,2,4.24,MX,1683735072
32,moscow,55.7522,37.6156,288.96,40,98,1.61,RU,1683734390
33,guarapari,-20.6667,-40.4975,300.87,74,100,1.69,BR,1683734775
34,yellowknife,62.456,-114.3525,285.13,46,50,3.58,CA,1683734986
35,narvik,68.4384,17.4272,282.81,92,100,1.97,NO,1683735074
36,avarua,-21.2078,-159.775,297.18,88,75,6.69,CK,1683735075
37,tidjikja,18.5564,-11.4271,313.69,9,37,5.71,MR,1683735075
38,kununurra,-15.7667,128.7333,286.14,71,99,0.51,AU,1683735076
39,mhamid,29.82,-5.72,312.69,6,0,6.29,MA,1683735076
40,bamboo flat,11.7,92.7167,301.38,81,100,8.51,IN,1683735077
41,saldanha,-33.0117,17.9442,289.86,88,18,4.17,ZA,1683735077
42,weno,7.4515,151.8468,300.12,89,100,1.54,FM,1683735083
43,kruisfontein,-34.0033,24.7314,295.86,38,44,1.42,ZA,1683735083
44,udachny,66.4167,112.4,258.81,88,37,2.1,RU,1683735085
45,cururupu,-1.8283,-44.8683,305.52,52,41,2.52,BR,1683734836
