City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,13.03,65,27,8.86,SH,1683740521
1,ribeira grande,38.5167,-28.7,20.22,68,20,4.12,PT,1683740521
2,piacabucu,-10.4056,-36.4344,29.37,61,45,4.62,BR,1683740521
3,tiksi,71.6872,128.8694,-19.86,95,16,4.46,RU,1683740522
4,adamstown,-25.066,-130.1015,22.3,62,100,9.72,PN,1683740522
5,yuzhno-kurilsk,44.0306,145.8556,3.49,92,41,4.48,RU,1683740522
6,waitangi,-43.9535,-176.5597,14.34,79,13,4.02,NZ,1683740524
7,blackmans bay,-43.0167,147.3167,5.85,89,11,2.2,AU,1683740524
8,iqaluit,63.7506,-68.5145,-0.15,59,75,4.63,CA,1683740524
9,muhos,64.808,25.9931,12.88,49,100,4.88,FI,1683740525
10,talnakh,69.4865,88.3972,-21.53,84,37,1.35,RU,1683740525
11,igarka,67.4667,86.5833,-9.01,92,100,5.92,RU,1683740525
12,alice springs,-23.7,133.8833,2.75,75,0,1.72,AU,1683740526
13,new norfolk,-42.7826,147.0587,6.51,77,44,1.19,AU,1683740526
14,crane,31.3974,-102.3501,29.06,34,42,7.64,US,1683740526
15,nova vicosa,-17.8919,-39.3719,26.82,65,98,2.14,BR,1683740527
16,keffi,8.8486,7.8736,31.93,45,100,1.6,NG,1683740527
17,port-aux-francais,-49.35,70.2167,6.11,95,57,7.44,TF,1683740527
18,port mathurin,-19.6833,63.4167,25.8,72,3,8.54,MU,1683740528
19,aldan,58.6031,125.3894,-1.84,98,36,1.63,RU,1683740528
20,balaipungut,1.05,101.2833,25.11,94,98,0.87,ID,1683740528
21,aban,56.67,96.06,1.75,57,1,2.64,RU,1683740528
22,fort mcmurray,56.7268,-111.381,19.77,48,0,1.03,CA,1683740461
23,grytviken,-54.2811,-36.5092,-0.92,88,100,7.27,GS,1683740529
24,arraial do cabo,-22.9661,-42.0278,21.98,100,100,3.6,BR,1683740529
25,fale old settlement,-9.3852,-171.2468,29.02,78,6,7.7,TK,1683740529
26,qaqortoq,60.7167,-46.0333,4.51,93,100,2.7,GL,1683740530
27,tinogasta,-28.0632,-67.5649,21.45,38,5,2.14,AR,1683740530
28,albany,42.6001,-73.9662,21.43,27,3,1.79,US,1683740408
29,hamilton,39.1834,-84.5333,24.22,35,0,5.66,US,1683740484
30,papatowai,-46.5619,169.4708,6.46,68,100,8.16,NZ,1683740531
31,colotlan,22.1,-103.2667,28.55,15,0,7.54,MX,1683740531
32,moscow,55.7522,37.6156,14.24,45,96,1.37,RU,1683740229
33,guarapari,-20.6667,-40.4975,27.16,74,100,1.64,BR,1683740532
34,yellowknife,62.456,-114.3525,15.29,36,40,3.58,CA,1683740236
35,narvik,68.4384,17.4272,9.66,93,100,1.56,NO,1683740532
36,avarua,-21.2078,-159.775,24.03,83,75,4.63,CK,1683740533
37,tidjikja,18.5564,-11.4271,39.58,8,25,2.84,MR,1683740533
38,kununurra,-15.7667,128.7333,18.99,42,74,3.6,AU,1683740533
39,mhamid,29.82,-5.72,38.3,6,1,8.08,MA,1683740534
40,bamboo flat,11.7,92.7167,28.98,78,100,10.34,IN,1683740534
41,saldanha,-33.0117,17.9442,16.03,90,1,5.01,ZA,1683740534
42,weno,7.4515,151.8468,26.97,89,100,2.57,FM,1683740535
43,kruisfontein,-34.0033,24.7314,21.05,22,44,3.14,ZA,1683740535
44,udachny,66.4167,112.4,-14.47,89,55,2.02,RU,1683740535
45,cururupu,-1.8283,-44.8683,29.78,67,47,2.15,BR,1683740535
46,rabo de peixe,37.8,-25.5833,17.73,88,75,5.14,PT,1683740536
47,georgetown,5.4112,100.3354,29.96,89,20,1.03,MY,1683740393
48,port shepstone,-30.7414,30.455,17.5,89,0,1.88,ZA,1683740536
49,college,64.8569,-147.8028,10.18,54,75,0.0,US,1683740537
50,ketchikan,55.3422,-131.6461,13.26,50,0,3.6,US,1683740537
51,stavern,59.0,10.0333,16.85,73,50,3.08,NO,1683740537
52,xiongzhou,25.1167,114.3,22.64,97,99,0.56,CN,1683740537
53,san luis de la loma,17.2706,-100.8939,32.16,51,21,4.96,MX,1683740248
54,birobidzhan,48.8,132.95,4.94,91,25,0.88,RU,1683740538
55,ushuaia,-54.8,-68.3,6.81,53,40,6.17,AR,1683740394
56,coruripe,-10.1256,-36.1756,28.25,66,36,4.23,BR,1683740539
57,paraisopolis,-22.5542,-45.78,22.42,79,99,0.73,BR,1683740526
58,lompoc,34.6391,-120.4579,19.27,69,100,7.15,US,1683740539
59,kongolo,-5.3833,27.0,23.81,81,65,1.21,CD,1683740540
60,puerto natales,-51.7236,-72.4875,1.25,93,75,0.0,CL,1683740541
61,daru,-9.0763,143.2092,24.82,96,95,3.9,PG,1683740541
62,lebu,-37.6167,-73.65,13.27,89,100,7.14,CL,1683740542
63,aasiaat,68.7098,-52.8699,-1.81,79,99,4.95,GL,1683740542
64,salalah,17.0151,54.0924,29.05,79,20,3.09,OM,1683740542
65,thompson,55.7435,-97.8558,16.09,59,75,4.12,CA,1683740543
66,quellon,-43.1167,-73.6167,13.14,94,100,4.63,CL,1683740543
67,vila velha,-20.3297,-40.2925,27.97,74,20,4.12,BR,1683740543
68,invercargill,-46.4,168.35,8.34,95,90,1.34,NZ,1683740544
69,margaret river,-33.95,115.0667,15.57,49,100,7.52,AU,1683740544
70,pontes e lacerda,-15.2261,-59.3353,29.17,59,81,2.24,BR,1683740545
71,hithadhoo,-0.6,73.0833,27.91,79,27,4.97,MV,1683740545
72,port alfred,-33.5906,26.891,17.88,85,43,2.91,ZA,1683740545
73,puerto ayora,-0.7393,-90.3518,30.98,91,72,4.02,EC,1683740546
74,zambezi,-13.5432,23.1047,18.77,43,0,1.7,ZM,1683740546
